Date,Interest_Rate
25/02/1999,27.07
04/03/1999,27.04
11/03/1999,24.94
18/03/1999,22.85
25/03/1999,22.8
31/03/1999,21.68
08/04/1999,20.84
15/04/1999,21.32
22/04/1999,20.9
29/04/1999,21.12
06/05/1999,21.06
13/05/1999,21.06
20/05/1999,20.75
27/05/1999,21.21
03/06/1999,21.71
10/06/1999,21.26
17/06/1999,21.6
24/06/1999,20.81
01/07/1999,20.89
08/07/1999,20.35
15/07/1999,20.79
22/07/1999,20.73
29/07/1999,21.15
05/08/1999,21.49
12/08/1999,22.09
19/08/1999,21.18
26/08/1999,21.18
02/09/1999,21.61
09/09/1999,21.29
15/09/1999,21.12
23/09/1999,21.32
30/09/1999,21.39
07/10/1999,21.06
14/10/1999,19.47
21/10/1999,20.39
28/10/1999,20.26
04/11/1999,19.59
11/11/1999,18.41
18/11/1999,18.16
25/11/1999,18.55
02/12/1999,18.01
09/12/1999,17.36
16/12/1999,17.58
23/12/1999,17.84
30/12/1999,17.44
06/01/2000,17.71
13/01/2000,16.98
20/01/2000,17.33
27/01/2000,17.71
03/02/2000,17.19
10/02/2000,16.44
17/02/2000,16.02
24/02/2000,16.09
02/03/2000,15.52
09/03/2000,14.29
16/03/2000,14.14
23/03/2000,14.31
30/03/2000,14.02
06/04/2000,14.13
13/04/2000,13.97
19/04/2000,15.0
27/04/2000,14.38
04/05/2000,14.37
11/05/2000,16.06
18/05/2000,15.9
25/05/2000,16.0
01/06/2000,15.79
08/06/2000,15.77
15/06/2000,16.48
22/06/2000,16.96
29/06/2000,18.07
06/07/2000,14.72
13/07/2000,14.3
20/07/2000,14.8
27/07/2000,14.67
03/08/2000,15.65
10/08/2000,15.83
17/08/2000,15.69
24/08/2000,15.79
31/08/2000,15.58
07/09/2000,15.52
14/09/2000,16.02
21/09/2000,16.76
28/09/2000,16.31
05/10/2000,16.47
12/10/2000,16.34
19/10/2000,17.69
26/10/2000,17.75
01/11/2000,17.87
09/11/2000,18.08
16/11/2000,17.81
23/11/2000,18.09
30/11/2000,18.18
07/12/2000,17.34
14/12/2000,17.17
21/12/2000,17.13
28/12/2000,18.01
04/01/2001,18.46
11/01/2001,17.55
18/01/2001,19.28
25/01/2001,18.69
01/02/2001,18.23
08/02/2001,18.31
15/02/2001,17.97
22/02/2001,17.77
01/03/2001,16.55
08/03/2001,16.5
15/03/2001,16.51
22/03/2001,16.63
29/03/2001,16.14
05/04/2001,15.8
11/04/2001,15.54
19/04/2001,15.48
26/04/2001,14.79
03/05/2001,13.92
10/05/2001,13.52
17/05/2001,13.31
24/05/2001,10.92
31/05/2001,11.39
07/06/2001,11.33
14/06/2001,10.12
21/06/2001,9.74
28/06/2001,9.9
05/07/2001,9.66
12/07/2001,10.34
19/07/2001,10.8
26/07/2001,10.18
02/08/2001,9.03
09/08/2001,8.54
16/08/2001,8.58
23/08/2001,7.97
30/08/2001,8.59
06/09/2001,10.34
13/09/2001,11.09
20/09/2001,10.72
27/09/2001,11.36
04/10/2001,11.09
11/10/2001,9.93
18/10/2001,9.19
25/10/2001,8.49
01/11/2001,9.27
08/11/2001,8.79
15/11/2001,8.6
22/11/2001,8.48
29/11/2001,8.3
06/12/2001,7.94
13/12/2001,7.48
20/12/2001,7.11
27/12/2001,7.6
03/01/2002,7.72
10/01/2002,6.94
17/01/2002,6.9
24/01/2002,7.29
31/01/2002,7.9
07/02/2002,8.27
14/02/2002,8.53
21/02/2002,8.22
28/02/2002,7.66
07/03/2002,7.19
14/03/2002,7.07
20/03/2002,7.41
27/03/2002,7.55
04/04/2002,6.57
11/04/2002,6.38
18/04/2002,5.99
25/04/2002,5.68
02/05/2002,6.01
09/05/2002,6.58
16/05/2002,6.93
23/05/2002,7.03
30/05/2002,6.9
06/06/2002,7.11
13/06/2002,7.31
20/06/2002,7.13
27/06/2002,8.39
04/07/2002,8.67
11/07/2002,7.62
18/07/2002,7.83
25/07/2002,7.39
01/08/2002,7.19
08/08/2002,6.95
15/08/2002,7.07
22/08/2002,7.21
29/08/2002,6.94
05/09/2002,7.26
12/09/2002,7.25
19/09/2002,7.36
26/09/2002,9.4
03/10/2002,8.09
10/10/2002,8.57
17/10/2002,8.3
24/10/2002,7.96
31/10/2002,8.23
07/11/2002,8.12
14/11/2002,8.17
21/11/2002,7.62
28/11/2002,7.4
05/12/2002,6.99
11/12/2002,7.58
19/12/2002,7.18
26/12/2002,7.34
02/01/2003,8.08
09/01/2003,8.64
